------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:16:59 (uptime: 0d, 00h 00m 13s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 148
capture.afpacket.polls                        | Total                     | 368
capture.afpacket.poll_timeout                 | Total                     | 247
capture.afpacket.poll_data                    | Total                     | 121
decoder.pkts                                  | Total                     | 160
decoder.bytes                                 | Total                     | 22402
decoder.ipv4                                  | Total                     | 124
decoder.ipv6                                  | Total                     | 27
decoder.ethernet                              | Total                     | 160
decoder.arp                                   | Total                     | 6
decoder.unknown_ethertype                     | Total                     | 3
decoder.tcp                                   | Total                     | 110
tcp.syn                                       | Total                     | 22
tcp.synack                                    | Total                     | 6
decoder.udp                                   | Total                     | 30
decoder.icmpv6                                | Total                     | 11
decoder.avg_pkt_size                          | Total                     | 140
decoder.max_pkt_size                          | Total                     | 1293
tcp.active_sessions                           | Total                     | 19
flow.total                                    | Total                     | 38
flow.active                                   | Total                     | 38
flow.tcp                                      | Total                     | 26
flow.udp                                      | Total                     | 10
flow.icmpv6                                   | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
tcp.sessions                                  | Total                     | 19
tcp.ssn_from_pool                             | Total                     | 19
app_layer.flow.dns_udp                        | Total                     | 7
app_layer.tx.dns_udp                          | Total                     | 14
app_layer.flow.failed_udp                     | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9500
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 14
flow.mgr.flows_notimeout                      | Total                     | 14
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 3113120
tcp.reassembly_memuse                         | Total                     | 581632
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:17:07 (uptime: 0d, 00h 00m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 536
capture.afpacket.polls                        | Total                     | 1008
capture.afpacket.poll_timeout                 | Total                     | 605
capture.afpacket.poll_data                    | Total                     | 403
decoder.pkts                                  | Total                     | 567
decoder.bytes                                 | Total                     | 110024
decoder.ipv4                                  | Total                     | 462
decoder.ipv6                                  | Total                     | 85
decoder.ethernet                              | Total                     | 567
decoder.arp                                   | Total                     | 13
decoder.unknown_ethertype                     | Total                     | 9
decoder.tcp                                   | Total                     | 405
tcp.syn                                       | Total                     | 63
tcp.synack                                    | Total                     | 23
tcp.rst                                       | Total                     | 1
decoder.udp                                   | Total                     | 118
decoder.icmpv6                                | Total                     | 20
decoder.avg_pkt_size                          | Total                     | 194
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 52
flow.total                                    | Total                     | 110
flow.active                                   | Total                     | 110
flow.tcp                                      | Total                     | 71
flow.udp                                      | Total                     | 37
flow.icmpv6                                   | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
tcp.sessions                                  | Total                     | 52
tcp.ssn_from_pool                             | Total                     | 52
tcp.segment_from_pool                         | Total                     | 41
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 1
app_layer.flow.dns_tcp                        | Total                     | 6
app_layer.tx.dns_tcp                          | Total                     | 12
app_layer.flow.quic                           | Total                     | 1
app_layer.tx.quic                             | Total                     | 5
app_layer.flow.snmp                           | Total                     | 1
app_layer.tx.snmp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 16
app_layer.tx.dns_udp                          | Total                     | 32
app_layer.flow.failed_udp                     | Total                     | 19
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9500
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 49
flow.mgr.flows_notimeout                      | Total                     | 49
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 3113344
tcp.reassembly_memuse                         | Total                     | 624640
http.memuse                                   | Total                     | 4770
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:17:15 (uptime: 0d, 00h 00m 29s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 748
capture.afpacket.polls                        | Total                     | 1407
capture.afpacket.poll_timeout                 | Total                     | 845
capture.afpacket.poll_data                    | Total                     | 562
decoder.pkts                                  | Total                     | 774
decoder.bytes                                 | Total                     | 141266
decoder.ipv4                                  | Total                     | 607
decoder.ipv6                                  | Total                     | 118
decoder.ethernet                              | Total                     | 774
decoder.arp                                   | Total                     | 35
decoder.unknown_ethertype                     | Total                     | 16
decoder.tcp                                   | Total                     | 512
tcp.syn                                       | Total                     | 84
tcp.synack                                    | Total                     | 29
tcp.rst                                       | Total                     | 1
decoder.udp                                   | Total                     | 184
decoder.icmpv6                                | Total                     | 25
decoder.avg_pkt_size                          | Total                     | 182
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 68
flow.total                                    | Total                     | 153
flow.active                                   | Total                     | 153
flow.tcp                                      | Total                     | 89
flow.udp                                      | Total                     | 62
flow.icmpv6                                   | Total                     | 2
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
tcp.sessions                                  | Total                     | 68
tcp.ssn_from_pool                             | Total                     | 68
tcp.segment_from_pool                         | Total                     | 41
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 1
app_layer.flow.dns_tcp                        | Total                     | 6
app_layer.tx.dns_tcp                          | Total                     | 12
app_layer.flow.quic                           | Total                     | 1
app_layer.tx.quic                             | Total                     | 5
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 10
app_layer.flow.dns_udp                        | Total                     | 23
app_layer.tx.dns_udp                          | Total                     | 46
app_layer.flow.failed_udp                     | Total                     | 33
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9500
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 121
flow.mgr.flows_notimeout                      | Total                     | 121
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 3113568
tcp.reassembly_memuse                         | Total                     | 628736
http.memuse                                   | Total                     | 9852
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:17:23 (uptime: 0d, 00h 00m 37s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1090
capture.afpacket.polls                        | Total                     | 2016
capture.afpacket.poll_timeout                 | Total                     | 1207
capture.afpacket.poll_data                    | Total                     | 809
decoder.pkts                                  | Total                     | 1107
decoder.bytes                                 | Total                     | 202659
decoder.ipv4                                  | Total                     | 865
decoder.ipv6                                  | Total                     | 176
decoder.ethernet                              | Total                     | 1107
decoder.arp                                   | Total                     | 41
decoder.unknown_ethertype                     | Total                     | 27
decoder.tcp                                   | Total                     | 728
tcp.syn                                       | Total                     | 124
tcp.synack                                    | Total                     | 40
tcp.rst                                       | Total                     | 4
decoder.udp                                   | Total                     | 273
decoder.icmpv6                                | Total                     | 36
decoder.avg_pkt_size                          | Total                     | 183
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 100
flow.total                                    | Total                     | 205
flow.active                                   | Total                     | 205
flow.tcp                                      | Total                     | 122
flow.udp                                      | Total                     | 80
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
tcp.sessions                                  | Total                     | 100
tcp.ssn_from_pool                             | Total                     | 100
tcp.segment_from_pool                         | Total                     | 76
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 12
app_layer.flow.tls                            | Total                     | 2
app_layer.flow.dns_tcp                        | Total                     | 6
app_layer.tx.dns_tcp                          | Total                     | 12
app_layer.flow.quic                           | Total                     | 1
app_layer.tx.quic                             | Total                     | 5
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 10
app_layer.flow.dns_udp                        | Total                     | 38
app_layer.tx.dns_udp                          | Total                     | 76
app_layer.flow.failed_udp                     | Total                     | 36
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9500
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 178
flow.mgr.flows_notimeout                      | Total                     | 178
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 3113824
tcp.reassembly_memuse                         | Total                     | 643072
http.memuse                                   | Total                     | 9852
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:17:31 (uptime: 0d, 00h 00m 45s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1567
capture.afpacket.polls                        | Total                     | 2626
capture.afpacket.poll_timeout                 | Total                     | 1542
capture.afpacket.poll_data                    | Total                     | 1084
decoder.pkts                                  | Total                     | 1574
decoder.bytes                                 | Total                     | 467032
decoder.ipv4                                  | Total                     | 1277
decoder.ipv6                                  | Total                     | 217
decoder.ethernet                              | Total                     | 1574
decoder.arp                                   | Total                     | 49
decoder.unknown_ethertype                     | Total                     | 33
decoder.tcp                                   | Total                     | 1093
tcp.syn                                       | Total                     | 160
tcp.synack                                    | Total                     | 50
tcp.rst                                       | Total                     | 4
decoder.udp                                   | Total                     | 352
decoder.icmpv6                                | Total                     | 45
decoder.avg_pkt_size                          | Total                     | 296
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 125
flow.total                                    | Total                     | 247
flow.active                                   | Total                     | 247
flow.tcp                                      | Total                     | 148
flow.udp                                      | Total                     | 96
flow.icmpv6                                   | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
tcp.sessions                                  | Total                     | 125
tcp.ssn_from_pool                             | Total                     | 125
tcp.segment_from_pool                         | Total                     | 241
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 18
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dns_tcp                        | Total                     | 6
app_layer.tx.dns_tcp                          | Total                     | 12
app_layer.flow.quic                           | Total                     | 2
app_layer.tx.quic                             | Total                     | 7
app_layer.flow.snmp                           | Total                     | 5
app_layer.tx.snmp                             | Total                     | 10
app_layer.flow.dns_udp                        | Total                     | 48
app_layer.tx.dns_udp                          | Total                     | 96
app_layer.flow.failed_udp                     | Total                     | 41
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9500
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 210
flow.mgr.flows_notimeout                      | Total                     | 210
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 3114176
tcp.reassembly_memuse                         | Total                     | 858112
http.memuse                                   | Total                     | 9852
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
